iter	MultiClass
0	1.118079581
1	1.116035511
2	1.113995677
3	1.112523187
4	1.110567983
5	1.108539709
6	1.106515647
7	1.104495792
8	1.102480139
9	1.101897499
10	1.099586315
11	1.097580851
12	1.095579569
13	1.093998739
14	1.09200515
15	1.090432353
16	1.088446428
17	1.086464655
18	1.084903221
19	1.084335217
20	1.082362295
21	1.081796951
22	1.079829384
23	1.077865943
24	1.076322258
25	1.07436638
26	1.072414608
27	1.070466938
28	1.06905981
29	1.067119139
30	1.065718207
31	1.065165374
32	1.064613961
33	1.064063964
34	1.062227061
35	1.060301092
36	1.058792018
37	1.057404975
38	1.055489321
39	1.053989664
40	1.052081415
41	1.050177201
42	1.048277015
43	1.04610716
44	1.044215537
45	1.042327924
46	1.040444314
47	1.0385647
48	1.037095021
49	1.034435629
