iter	Passed	Remaining
0	160	7857
1	162	3892
2	163	2554
3	163	1882
4	164	1477
5	165	1213
6	166	1023
7	167	879
8	168	767
9	168	675
10	169	600
11	170	538
12	170	486
13	171	440
14	173	404
15	174	370
16	175	340
17	176	313
18	176	288
19	177	265
20	178	246
21	178	227
22	179	210
23	181	196
24	182	182
25	183	169
26	184	157
27	186	146
28	186	135
29	188	125
30	188	115
31	189	106
32	189	97
33	190	89
34	190	81
35	191	74
36	192	67
37	195	61
38	196	55
39	197	49
40	198	43
41	198	37
42	199	32
43	200	27
44	201	22
45	201	17
46	202	12
47	203	8
48	203	4
49	204	0
